Lopues East Center                                                                      Page: 1
Villamonte, Bacolod City

SALES BY STOCK ITEM
Supplier : [6110] JOYTIS TRADIN
From     : 08/30/2008 To 11/21/2008
Printed  : 11/22/2008 10:42am NEMIA

-------------- --------------------------- --------- --------- ------------|--------- --------- ------------|--------- ------------
                                           TotalQty   Regular  Amount Sold | Promo      Promo    Total Promo|              Total
Barcode           Item Description           Sold     Price    (RegularPrc)|  Sold      Price       Sales   |   Cost       Cost 
-------------- --------------------------- --------- --------- ------------|--------- --------- ------------|--------- ------------
2702423        MONDI #20 PNTY HOSE                 1     47.75        47.75|                                |    35.81        35.81
2765402        MONDI KNEE HI #22                   1     24.75        24.75|        1     19.80        19.80|    18.56        18.56
2765396        MONDI STAY-UP #20                   1     34.75        34.75|                                |    26.06        26.06
2702417        S.TEEN #20 PANTY HOS                2     38.75        77.50|                                |    29.06        58.12
2702481        S.TEEN #20 STAY-UP                  2     24.75        49.50|                                |    18.56        37.12
2403010        SF4 BATH SPONGE                     1     29.00        29.00|                                |    20.25        20.25
2764526        SYNERGY #4 FOOT TUBE                1     42.00        42.00|        1     37.80        37.80|    29.25        29.25
2764524        SYNERGY #4 SLING BAC                1     28.00        28.00|        1     25.20        25.20|    19.50        19.50
2783176        SYNERGY FOOT TUBE 5                 1     42.00        42.00|        1     37.80        37.80|    29.25        29.25
2765331        SYNERGY SLINGBACK#3                 2     28.00        56.00|        2     25.20        50.40|    19.50        39.00
2785336        WALK FREE PH 20                     2     50.00       100.00|                                |    34.50        69.00
2785341        WALK FREE S.11 20                   1     36.00        36.00|        1     32.40        32.40|    24.75        24.75
-------------- --------------------------- --------- --------- ------------|--------- --------- ------------|--------- ------------
          Supplier Sub Total ---->            650.00              32,333.50|   338.00              13,927.85|             22,435.09
-------------- --------------------------- --------- --------- ------------|--------- --------- ------------|--------- ------------
