<small3>
Lopues East Center                                                                      Page: 1
Villamonte, Bacolod City

SALES BY STOCK ITEM
Supplier : [2979] MAIN PACIFIC FEATURES INC
From     : 01/01/2009 To 10/13/2009
Printed  : 10/14/2009 11:29am NEMIA

-------------- --------------------------- --------- --------- ------------|--------- --------- ------------|--------- ------------
                                           TotalQty   Regular  Amount Sold | Promo      Promo    Total Promo|              Total
Barcode           Item Description           Sold     Price    (RegularPrc)|  Sold      Price       Sales   |   Cost       Cost 
14             BOOKS(GIBSON)                       1     39.50        39.50|        1     33.58        33.60|     0.00         0.00
14             BOOKS(GIBSON)                       1     39.50        39.50|                                |     0.00         0.00
14             BOOKS(GIBSON)                       7     40.00       280.00|        7     34.00       238.00|     0.00         0.00
<eject>Lopues East Center                                                                      Page: 6
Villamonte, Bacolod City

SALES BY STOCK ITEM
Supplier : [2979] MAIN PACIFIC FEATURES INC
From     : 01/01/2009 To 10/13/2009
Printed  : 10/14/2009 11:29am NEMIA

-------------- --------------------------- --------- --------- ------------|--------- --------- ------------|--------- ------------
                                           TotalQty   Regular  Amount Sold | Promo      Promo    Total Promo|              Total
Barcode           Item Description           Sold     Price    (RegularPrc)|  Sold      Price       Sales   |   Cost       Cost 
-------------- --------------------------- --------- --------- ------------|--------- --------- ------------|--------- ------------
14             BOOKS(GIBSON)                       5     40.00       200.00|        5     36.00       180.00|     0.00         0.00
14             BOOKS(GIBSON)                      31     40.00     1,240.00|                                |     0.00         0.00
14             BOOKS(GIBSON)                       1     42.00        42.00|                                |     0.00         0.00
14             BOOKS(GIBSON)                       1     42.50        42.50|                                |     0.00         0.00
14             BOOKS(GIBSON)                      60     45.00     2,700.00|       60     38.25     2,295.00|     0.00         0.00
14             BOOKS(GIBSON)                      65     45.00     2,925.00|       65     40.50     2,632.50|     0.00         0.00
14             BOOKS(GIBSON)                     186     45.00     8,370.00|                                |     0.00         0.00
14             BOOKS(GIBSON)                       1     45.90        45.90|                                |     0.00         0.00
14             BOOKS(GIBSON)                       1     48.50        48.50|        1     43.65        43.65|     0.00         0.00
14             BOOKS(GIBSON)                       4     49.00       196.00|                                |     0.00         0.00
